cl_from	cl_to
452445	362559
891165	361955
343125	362559
811334	361955
590876	98061
442079	362559
416605	769
875557	929
106583	1508514
106583	1508517
1214499	1619389
803084	904
869512	5701
77763	902
938546	5358
1123993	5349
941351	5354
406820	912
690134	97992
528326	974
845525	593951
729566	997
810821	361955
600035	1001825
663513	1454
890564	361955
458051	1225546
874070	361955
787642	1526931
444846	1001825
455850	1001825
882641	361955
897752	10700
1190400	312430
888597	1620878
912639	1651050
832022	361955
1002095	1497866
864538	361955
1230970	5324
1230970	5331
186313	1581012
56067	1651050
880553	361955
417716	857
417716	1584597
737114	1590
274885	489159
1215803	609737
795493	1610957
799986	1610957
799986	1610978
795504	1610957
795504	1610978
423151	1610957
25789	1610978
498233	960
1234703	1597651
1133899	312430
943726	176437
70862	1466557
807348	1482237
300695	10526
832633	4737
15196	10529
429508	186073
1250837	312430
260271	1610978
69238	1610978
297807	1610978
828471	1610978
110263	5370
93828	25229
93828	1610961
93828	1610973
94037	312430
276277	5397
218340	5607
831028	5624
187806	5597
283117	988
777436	1457
447652	186263
343005	803
856682	5355
856682	10706
143829	1497866
83325	1631581
1214753	5369
187039	312430
160840	5324
160840	5330
958455	5363
96369	1610957
876586	361955
446120	1239
230610	312430
817936	361955
820427	361955
971985	1515338
447686	948
98610	1585376
164930	312430
724226	593951
591270	1061
8668	5364
1245186	933
50160	1486938
825074	361955
795185	1663356
92856	1668248
458050	362559
233884	517858
1076541	1156
1076541	1581024
664300	1094
418634	361955
478305	10774
478305	10789
834622	931
899181	1316
899181	1592442
158041	312430
745485	900
285533	1450
316140	593951
118172	312430
950857	769
64729	1225547
766518	1619
810790	361955
502011	1572233
760237	1618
817900	361955
456684	362559
848660	361955
539368	1001825
444252	362559
464010	362559
1028892	1515338
456356	1651050
447709	362559
827959	361955
812770	5330
249002	361955
832851	361955
462838	362559
400711	362559
50634	235102
814900	361955
892137	1406531
815494	361955
663343	1376
912282	1651050
824229	361955
461136	362559
864017	361955
747613	985
417218	283143
1092654	594073
825301	361955
276626	1477298
1157875	5371
1167356	312430
118618	1668248
92696	1668248
683975	1578
691019	701729
1171059	1668632
358755	1507
21418	5633
811317	361955
181271	1651050
455671	362559
432179	362559
810803	361955
826092	361955
109121	361955
588603	361955
467345	362559
821484	361955
474489	362559
875130	361955
870522	361955
880557	361955
935959	1651050
181014	1651050
181282	1651050
814045	361955
879835	361955
879835	1651050
181307	1651050
56075	1651050
164315	1651050
181281	1651050
181748	1651050
298049	312430
730176	361955
312629	361955
443954	362559
266206	312430
803272	361955
820640	361955
434286	362559
823336	1542205
380635	490700
180738	1651050
883973	361955
98611	951
840636	361955
698112	361955
831156	361955
481453	362559
641443	1434
641443	1581014
463579	1003685
1134425	10774
1134425	10789
1204237	10782
88807	1668248
154902	1050
149668	681680
474711	1208
253856	1437
954489	1584595
107699	312430
77467	1063
286184	923
190481	312430
538114	10774
1201154	10775
149669	681680
436001	5632
940283	608336
869803	361955
842669	361955
284858	361955
171796	312430
746695	833
62840	361955
117975	5356
117975	10705
156225	1481842
554558	312430
814936	361955
263516	1620878
942844	1499472
760544	1009
866224	361955
759734	312430
274502	312430
426085	1495
833518	361955
42274	1406534
1222260	5327
1222260	5331
653950	1047
73255	807
1128555	768
1089630	5318
406508	5366
383079	5324
383079	5343
310172	1572417
118007	1479991
1229652	5321
1229652	5338
785317	10775
878311	1610978
875806	10776
1041488	1479947
1080648	1581012
109459	517858
406029	806
441357	11028
458009	5324
473254	362559
459170	361955
363987	362559
20671	1653665
502887	361955
501501	1161672
680514	361955
470203	362559
877610	361955
579474	1064
447178	362559
877603	361955
461156	362559
445456	362559
812990	361955
508450	5359
508450	10704
875117	361955
816194	361955
436898	362559
878250	361955
474080	362559
869002	361955
820448	361955
449650	362559
449984	362559
817056	361955
872290	361955
436950	362559
256559	10789
79487	1033
185059	312430
879882	1480003
296821	769
793436	1663356
1228228	1497866
765823	1610978
461241	362559
1107150	1406531
706377	361955
838765	5345
507505	1651050
827940	361955
460569	362559
445103	362559
83005	875
533504	186059
533504	593921
735163	312430
916547	186059
92203	312430
459677	986
812926	361955
306054	1508517
795243	1584207
296292	361955
1094101	10775
507650	1410
908472	1651050
461202	362559
792491	10776
1212005	312430
15097	1306
1233148	10785
554829	593921
784905	1665726
582132	1306
727611	593921
901008	593951
315566	1062
92579	1668248
341363	504997
845628	1668767
1230633	1542205
29185	594073
802556	593921
890562	361955
155532	941
98612	1453
680296	1567
815490	593951
66529	1356
764714	1022
626878	1355
875124	361955
817548	361955
974249	5325
888772	1610973
760549	1352
788750	1203972
1041988	1003699
64617	1279
312036	312430
1165063	10777
56259	5392
36766	10792
48014	758
882395	1584182
1224912	312430
999923	1610978
106916	5394
72311	312430
231165	1258
1165069	900
958190	1610978
313353	5356
46287	139880
1043076	1665760
766464	1241
193311	312430
1011164	1479969
448311	5323
448311	5341
853164	10822
408936	361955
649513	1225547
442902	362559
849318	1542205
863728	1542205
865650	1542205
861113	1542205
850195	1542205
1244098	1473932
397068	10782
205366	312430
882064	361955
883950	361955
864817	608336
811621	361955
698573	1631586
462563	362559
442341	362559
13505	361955
7326	1001825
872392	361955
734627	1631586
880133	361955
467910	362559
362681	362559
348573	362559
519048	362559
862952	361955
455884	362559
474021	362559
752240	1406050
780002	361955
858260	361955
832219	361955
473235	362559
462457	362559
866212	361955
461210	362559
453701	362559
794256	361955
231975	1352
439552	361955
812904	361955
462267	362559
471886	362559
866231	361955
866228	361955
840292	361955
455585	362559
768078	5321
768078	5340
462318	312430
837296	1173
821512	361955
298167	5607
871660	361955
1034724	362559
205577	312430
18032	1523
1089816	361955
824683	1542205
821473	361955
705433	4739
808370	1575943
178352	4740
1058538	25223
870659	643
1075586	839
92782	1014782
853802	361955
811981	361955
382036	1597651
69462	1445
1215928	609737
175026	5321
175026	5340
1215911	609737
1215927	609737
1215958	609737
1215960	609737
1215947	609737
1215954	609737
1215774	609737
604134	608336
43820	1320
43820	608336
300965	1631243
664948	1546
456577	362559
499796	1610978
335508	1508517
857275	361955
460348	362559
814347	361955
463048	362559
827971	361955
957032	1499472
443805	362559
815477	361955
484407	361955
356088	1581012
240335	312430
1189395	312430
1075222	11026
40187	1418486
842103	1580996
446488	1551
75573	1467
1068330	1499472
779235	1652957
185321	1114
140722	1148
140722	1582579
1132516	139877
1243774	1584758
943649	361955
819748	361955
335198	158624
656521	1465292
1236444	1245
156240	1481837
866183	361955
286210	919
660963	1540
1188643	1391
1188643	312430
1195714	312430
660965	98061
1219257	1021
536613	593921
126998	1286
13425	1068
890700	361955
861772	361955
468669	362559
283778	1019
466589	5397
826577	986
182940	879
1010973	312430
452424	362559
354773	5589
431065	1405767
156246	1481830
105432	5370
878383	361955
224660	312430
426189	5616
199378	1152
461216	362559
1130545	1598821
37172	1406704
53928	1120
1100383	1146
798624	1668903
1098321	1474520
749936	758
980414	1665760
422841	904
426871	1357
739896	1592
124398	1668248
118653	1668248
865266	361955
865266	1406050
195109	312430
446363	362559
149670	681680
851353	361955
920590	1651050
460371	362559
446776	362559
1041343	1479969
861007	361955
816420	361955
875825	361955
851166	361955
696470	362559
713468	1526931
864849	361955
447389	362559
455833	362559
310115	1001825
811091	361955
866175	361955
143453	873
922233	10776
498263	10821
404528	1444
814899	361955
113800	802
156249	1481830
954490	1584595
453890	959
78236	1586
530348	4739
15037	1235
125321	1049
1021243	1101
930419	1051
356718	5395
667104	1325
101461	1668249
205348	312430
446544	362559
187359	5330
394385	5328
394385	6175
3403	1093
695568	1071
226456	5397
147162	517858
160426	1515338
693526	833214
109977	241896
1106694	1497866
680690	1564
1178888	5713
123070	1604
874077	361955
885845	5714
417933	760
268776	750
423550	1553
321140	1360
306302	803
129215	904
416190	747
118136	904
118136	1396
